THOOMPUMKAL TRADERS
PUTHENCAVU P O             CHENGANNUR 689123 ALAPPUZHA DIST.
Stock Ledger - Item
Date:,31/12/2024
Show:,All Items
Stock Valuation:,PTS
Item Code:,All Item Code
Item Code,Item Name,Total On Hand Qty,Total SIT Qty,Conversion Unit,Reporting UOM,UOM Description,Total On Hand Value,Total SIT Value,Saleable Stock,Saleable SIT Qty,Saleable Value,Saleable SIT Value,Free OnHand Qty,Free SIT Qty,Damages Qty,Damages Value,Total On Hand Qty_UOM1,Total On Hand Qty_UOM2,Total SIT Qty_UOM1,Total SIT Qty_UOM2,Saleable SIT Qty_UOM1,Saleable SIT Qty_UOM2,Free SIT Qty_UOM1,Free SIT Qty_UOM2
9999,HOMELITES SMALL 40S FR_9999,0.000000 M_S,0.000000 M_S,0.000000 1,0.00,M_S,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
9886,HOMELITES RS 2 53s (SM)_9886,0.000000 M_S,0.000000 M_S,0.000000 1,0.00,M_S,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
21035,HOMELITES RS 2 45s_21035,0.000000 M_S,0.000000 M_S,0.000000 1,0.00,M_S,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
21013,HOMELITES RS 2 49s_21013,0.000000 M_S,0.000000 M_S,0.000000 1,0.00,M_S,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
21124,HOMELITES Rs2 42s_21124,0.990000 M_S,33.900000 M_S,10.593000 1,0.99,M_S,0.00,45933.14,0.99,33.90,1341.41,45933.14,0.00,0.00,0.00,0.00,3.300000 CFC,198.000000 PAC,113.000000 CFC,6780.000000 PAC,113.00,6780.00,0.00,0.00
9904,RISING SUN_9904,0.000000 M_S,0.000000 M_S,0.000000 1,0.00,M_S,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
9907,Ship Superior_9907,3.780000 M_S,0.000000 M_S,31.487400 1,3.78,M_S,0.00,0.00,3.78,0.00,2489.28,0.00,0.00,0.00,0.00,0.00,6.300000 CFC,378.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
21130,Ship Superior 25s WM_21130,1.200000 M_S,1.200000 M_S,6.159600 1,1.20,M_S,0.00,831.00,1.20,1.20,831.00,831.00,0.00,0.00,0.00,0.00,2.000000 CFC,120.000000 PAC,2.000000 CFC,120.000000 PAC,2.00,120.00,0.00,0.00
9922,SHIP PREMIUM_9922,0.000000 M_S,0.000000 M_S,0.000000 1,0.00,M_S,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
9929,SHIP PREMIUM_9929,0.000000 M_S,0.000000 M_S,0.000000 1,0.00,M_S,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FN1315PB,CHINESE MASALA NOODLES 75G X 4 PR_FN1315PB,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FN1315,CHINESE MASALA NOODLES 75G_FN1315,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FN1315B,YIPPEE CHINESE MSL NOODLES 75G TP_FN1315B,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FN1315BP,YIPPEE CHNS MSL NOODLES 75G TP RP_FN1315BP,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FND2310,YIPPEE WOW MASALA NOODLES 50G_FND2310,3.900000 KG,96.000000 KG,3.900000 1,3.90,KG,0.00,14728.83,3.90,96.00,598.36,14728.83,0.00,0.00,0.00,0.00,0.812500 CFC,78.000000 PAC,20.000000 CFC,1920.000000 PAC,20.00,1920.00,0.00,0.00
FND2310B,YIPPEE WOW MASALA NOODLES 50G LADI_FND2310B,25.300000 KG,28.800000 KG,25.300000 1,25.30,KG,0.00,4418.65,25.30,28.80,3881.66,4418.65,0.00,0.00,0.00,0.00,5.270833 CFC,506.000000 PAC,6.000000 CFC,576.000000 PAC,6.00,576.00,0.00,0.00
FN1105,CLASSIC MASALA 45G_FN1105,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FN1105B,CLASSIC MASALA 40G_FN1105B,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FN1105C,CLASSIC MASALA NOODLES 35G_FN1105C,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FN1105G,YIPPEE CLASSIC MASALA NOODLES 35G_FN1105G,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FN1110,CLASSIC MASALA 90G_FN1110,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FN1110A,CLASSIC MASALA 85G_FN1110A,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FN1110B,CLASSIC MASALA NOODLES 80G_FN1110B,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FN1110C,CLASSIC MASALA NOODLES 75G_FN1110C,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FN1110D,YIPPEE CLASSIC MASALA NOODLES 70G_FN1110D,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FN1110P,CLASSIC MASALA NOODLES 80G PROMO_FN1110P,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FN1112,YIPPEE CLASSIC MASALA NOODLES 70G_FN1112,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FN1140,CLASSIC MASALA NOODLES 320G_FN1140,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FN1140A,CLASSIC MASALA NOODLES 300G_FN1140A,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FN1140AP,CLASSIC MASALA NOODLES 300G PROMO_FN1140AP,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FN1140B,YIPPEE CLASSIC MASALA NOODLES 280G_FN1140B,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FN1140BP,YIPPEE CLASSIC MSL NOODLES 280G RP_FN1140BP,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FN1140G,YIPPEE CLASSIC MASALA NOODLES 280G_FN1140G,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FN1140P,CLASSIC MASALA NOODLES 320G PROMO_FN1140P,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FN1145,YIPPEE CLASSIC MASALA NOODLES 280G_FN1145,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FN1145B,YIPPEE CLASSIC MASLA NOODLES297.8G_FN1145B,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FN1716,YIPPEE MY MADLY MANCHURIAN ND 60G_FN1716,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FN1267,YIPPEE MGCMSL NOODLES 420G_FN1267,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FN1267AA,YIPPEE MGCMSL NOODLES 420G_FN1267AA,0.000000 KG,1995.840000 KG,0.000000 1,0.00,KG,0.00,299866.08,0.00,1995.84,0.00,299866.08,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,198.000000 CFC,4752.000000 PAC,198.00,4752.00,0.00,0.00
